标题,作者,内容,朝代,体裁
題延慶院,章得象,碧澗連龍穴，層巒倚括蒼。無時似風雨，繞院盡松篁。路僻人難到，僧閑日自長。勝游應不負，三度屆雲房。,唐,律诗
无题,赵佶,绛烛朱笼相随映。驰绣毂、尘清香衬。万金光射龙轩莹。绕端门、瑞雷轻振。元宵为开圣景。严敷坐、观灯锡庆。帝家华英乘春兴。搴珠帘、望尧瞻舜。,宋,词
頌古三十一首  其三,釋玿,身世悠悠不繫舟，得隨流處且隨流。今朝有酒今朝醉，明日無錢明日愁。,唐,绝句
送池子文,孫應時,巾山秋思俯晴江，樽酒懷人惜異邦。千里誰能携客枕，一燈還此對寒窗。聖門莫忘心期遠，文鼎何妨筆力扛。去去成名深自警，白雲飛處倚門雙。,唐,律诗
无题,魏了翁,犹记端门外，鞭袖五更寒。一声天上钟柝，金锁挚重关。君向紫宸上阁，我侍玉皇香案，都号舍人般。梦觉帝乡远，相对两苍颜。玉围腰，金系肘，绣笼鞯。乡人衮衮严近，五马度荆山。收拾五湖气度，卷束蟠胸兵甲，春意满人间。天锡公纯嘏，气象自平宽。,宋,词
无题,杨无咎,雨霁云收，风高露冷，银河万里波澄。正冰轮初见，玉斧修成。还是一年，凭栏望处，对景愁生。想姮娥应念，待久西厢，为可中庭。翻思皓彩，未如微暗，向人多少深情。长记得、墙阴密语，花底潜行。饮散频羞烛影，梦馀常怯窗明。此时此意，有谁曾问，月白风清。,宋,词
无题,周必大,山川迥别。赤城自古雄东越。锺英储秀簪绅列。何事黄扉，殊未相黄发。如今衮职那容缺。人心恰与天时合。看看孚号彤庭发。初破天荒，留与后来说。,宋,词
无题,刘辰翁,我去就他甚易，他来认我良难。悟时到处是壶天。古诗寻一句，危坐看香烟。金玉满堂不守，菁华岁月空迁。从今饱饭更安眠。丹经都不看，闲坐一千年。,宋,词
无题,管鉴,春愁无力。酴醿娇软难禁摘。风流彻骨香无敌。积玉团珠，明月夜同色。花时易失欢难得。尊前半是将行客。为花一醉何须惜。明岁花时，何处谩相忆。,宋,词
无题,吴潜,扁舟昨泊，危亭孤啸，目断闲云千里。前山急雨过溪来，尽洗却、人间暑气。暮鸦木末，落凫天际，都是一团秋意。痴儿呆女贺新凉，也不道、西风又起。,宋,词
无题,刘辰翁,涌金门外上船场。湖山堂。众贤堂。到几凄凉，城角夜吹霜。谁识两峰相对语，天惨惨，水茫茫。月移疏影傍人墙。怕昏黄。又昏黄。旧日朱门，四圣暗飘香。驿使不来春又老，南共北，断人肠。,宋,词
无题,叶梦得,芙蓉开过雨初晴。曲池平。画桥横。耿耿银河，遥下蘸空明。一舸吴松归未得，聊共住，小蓬瀛。问君何事引前旌。趣归程。背高城。鱼鸟三年，谁道总无情。试遣他年歌此曲，应尚记，别时声。,宋,词
无题,陈人杰,日薄风狞，万里空江，隐隐有声。旋千旗万棹，一时东指，青山断处，白浪成层。渐近渐高，可惊可喜，欻作雪峰楼外横。教人讶，是鲸掀鳌抃，蛟斗龙争。属镂忠恨腾腾。要句践城台都荡平。奈岸身不动，潮头自落，又如飞剑，斫倒鼍城。若到夜深，更和月看，组练分明十万兵。尤奇特，有稼轩一曲，真野狐精。,宋,词
次韵昌甫寒食,韓淲,南北已分壠，後來那得知。侵尋空歲月，流落漫歌詩。宿草露殊濕，白楊風更悲。江村暗寒食，老大故園思。,唐,律诗
二子,陸游,兩楹夢後少真儒，毁譽徒勞豈識渠。孟子無功如管仲，揚雄有賦似相如。敬王事業知誰繼，準易工夫故不疏。孤學背時空絕嘆，白頭窮巷抱遺書。,唐,律诗
无题,张震,春光如许。春到江南路。柳眼弄晴晖，笑梅老、落英无数。峭寒庭院，罗幕护窗纱，金鸭暖，锦屏深，曾记看承处。云边尺素。何计传心缕。无处说相思，空惆怅、朝云暮雨。曲阑干外，小立近黄昏，心下事，眼边愁，借问春知否。,宋,词
无题,葛立方,一阵轻香，不知来处，元来梅已舒英。出篱含笑，芳意为人倾。细看高标孤韵，谁家有、别得花人。应须是，魏徵妩媚，夷甫太鲜明。北枝，方半吐，水边疏影，绰约娉婷。问横空皎月，匝地寒霙。何似此花清绝，凭君为、子细推评。幽奇处，素娥青女，著意为横陈。,宋,词
送真西山再鎮溫陵,劉克莊,父老香花夾路催，朱幡那忍更徘徊。弓張至此尤宜弛，珠去安知不復迴。海上有艘堪致粟，洛中無篚勝生財。泉人畢竟修何福，消得西山兩度來。,唐,律诗
无题,曹勋,稽山鉴水无寒暑。荷香莲露相倾注。堂拟揖樵风。山围晚照红。桃根随秀叶。玉麈频招客。客况不言蓬。回船逸兴同。,宋,词
觀物吟,邵雍,如鸞如鳳，意思安詳。所生之人，非忠則良。如鼠如雀，意思驚躩。所生之人，不凶則惡。,唐,其他
无题,王沂孙,恰似断魂江上柳，越春深越瘦。,宋,词
重九再到張已隔世書詩牌後一首,王阮,碧紗籠底墨纔乾，白玉樓中骨已寒。淚盡當年聯騎客，菊花時節獨來看。,唐,绝句
喜雨  其三,林希逸,曉雲如墨幕諸山，飛瀑傾河頃刻間。一喜令人無著處，長歌欹枕聽潺潺。,唐,绝句
无题,方千里,看流莺度柳，似急响、金梭飞掷。护巢占泥，翩翩飞燕翼。昨梦前迹。暗数欢娱处，艳花幽草，纵冶游南国。芳心荡漾如波泽。系马青门，停车紫陌。年华转头堪惜。奈离襟别袂，容易疏隔。人间春寂。谩云容暮碧。远水沈双鲤、无信息。天涯渐老羁客。叹良宵漏断，独眠愁极。吴霜皎、半侵华帻。谁复省十载，匀香晕粉，髻倾鬟侧。相思意、不离潮汐。想旧家、接酒巡歌计，今难再得。,宋,词
无题,李邴,潇洒江梅，向竹梢疏处，横两三枝。东君也不爱惜，雪压霜欺。无情燕子，怕春寒、轻失花期。却是有，年年塞雁，归来曾见开时。清浅小溪如练，问玉堂何似，茅舍疏篱。伤心故人去後，冷落新诗。微云淡月，对江天、分付他谁。空自忆，清香未减，风流不在人知。,宋,词
用字謎,王安石,一月又一月，兩月共半邊。上有可耕之田，下有長流之川。一家有六口，兩口不團圓。,唐,词
玉山道中時赴掌故之命,裘萬頃,麥苗堆綠菜花黄，一簇人家古道傍。酒熟不妨邀里巷，年豐贏得事農桑。世情只說宦游好，客裏那知歸興長。我有平生蓑笠在，釣絲何日理斜陽。,唐,律诗
无题,晏几道,长相思。长相思。若问相思甚了期。除非相见时。长相思。长相思。欲把相思说似谁。浅情人不知。,宋,词
无题,程大昌,乾处缁尘湿处泥。天嫌世路净无时。皓然岩谷总凝脂。清夜月明人访戴，玉山顶上玉舟移。一蓑渔画更能奇。,宋,词
无题,丁宥,疏绮笼寒，浅云栖月。,宋,词
又簡張王臣,趙蕃,留落殊方少故人，豈其再見愈情親。幾因高論興衰颯，頻藉深杯慰苦辛。祇道朝天在長夏，那知奉檄又殘春。未聞行日先惆悵，君復何憂慨此身。,唐,律诗
无题,贺铸,十年一觉扬州梦，雨散云沈。隔水登临。扬子湾西夕照深。当时玉管朱弦句，忍泪重吟。半取沾襟。饾饤西风□□□。,宋,词
无题,王易简,翠云深锁齐姬恨，纤柯暗翻冰羽。锦瑟重调，绡衣乍著，聊饮人间风露。相逢甚处。记槐影初凉，柳阴新雨。听尽残声，为谁惊起又飞去。商量秋信最早。晚来吟未彻，却是凄楚。断韵还连，馀悲似咽，欲和愁边佳句。幽期谁语。怕寒叶凋零，蜕痕尘土。古木斜晖，向人怀抱苦。,宋,词
同年王聖源南都講授,宋祁,刻意悲秋髮未華，諸曹頻費杜陵嗟。歌緣郢客高難和，璧是秦人誤指瑕。綠底恩書褒振滯，烏衣羣從慶還家。離宮萬戶經庠盛，却對諸生坐絳紗。,唐,律诗
除夕萬安寄成父并示兒女,趙蕃,去年除夕遥憐汝，今歲酒觴期對舉。誰知人事苦好乖，百里相望竟成阻。去年雖深兄弟思，兒女抱負有母慈。今年已作生死隔，慟哭無地天使之。哀哉一官竟何直，南北由人長役役。屬兒無恨弟勿嗟，來歲田廬當畢集。,唐,诗
无题,张元干,梁苑春归，章街雪霁，柳梢华萼初萌。非烟非雾，新岁乐升平。京兆雍容报政，金狨过、九陌尘轻。朝回处，青霄路稳，黄色起天庭。东风，吹绿鬓，薄罗剪彩，小绾流莺。比渭滨甲子，尚父难兄。满泛椒觞献寿，斑衣侍、云母分屏。明年会，双衣对引，谈笑秉钧衡。,宋,词
道藏歌詩 十,無名氏,遊雲落太陽，飈景淩三天。千秋似清旦，萬歲猶日半。,唐,绝句
无题,刘辰翁,臞然如竹。自是天仙福。小小画堂锦样，听人唱、鹤飞曲。橙橘黄又绿。蟹到新篘熟。便做月三十斛，饮不尽、菊潭菊。,宋,词
无题,陈三聘,南北相逢，重借问、古今齐楚。烛花红、夜阑共语。怅六朝兴废，但倚空高树。目断帝乡，梦迷雁浦。故人疏、梅驿断，音书有数。塞鸿归、过来又去。正春浓，依旧作、天涯行旅。伤心望极，淡烟细雨。,宋,词
无题,晏殊,露下风高，井梧宫簟生秋意。画堂筵启。一曲呈珠缀。天外行云，欲去凝香袂。炉烟起。断肠声里。敛尽双蛾翠。,宋,词
赤城,夏竦,丹壁排空疊綵虹，上真應此駐靈蹤。烟沉曉日明孤頂，雲破餘霞出半峰。巖下法師曾伏虎，洞中僊客屢投龍。他年翠蓋東巡狩，玉牒終須受大封。,唐,律诗
成都書事二首  其二,陸游,大城少城柳已青，東臺西臺雪正晴。鶯花又作新年夢，絲竹常聞静夜聲。廢苑烟蕪迎馬動，清江春漲拍堤平。尊中酒滿身彊健，未恨飄零過此生。,唐,律诗
无题,王沂孙,琼妃卧月。任素裳瘦损，罗带重结。石径春寒，碧藓参差，相思曾步芳屧。离魂分破东风恨，又梦入、水孤云阔。算如今、也厌娉婷，带了一痕残雪。犹记冰奁半掩，冷枝画未就，归棹轻折。几度黄昏，忽到窗前，重想故人初别。苍虬欲卷涟漪去，慢蜕却、连环香骨。早又是，翠荫蒙茸，一似一枝清绝。,宋,词
无题,蔡伸,微雨初晴。洗瑶空万里，月挂冰轮。广寒宫阙近，望素娥缥缈，丹桂亭亭。金盘露冷，玉树风轻。倍觉秋思清。念去年曾共吹箫侣，同赏蓬瀛。奈此夜、旅泊江城。谩花光眩目，绿酒如渑。幽怀终有恨，恨绮窗清影，虚照娉婷。蓝桥□杳，楚馆云深。似凭归梦去，强就枕，无奈孤衾梦易惊。,宋,词
无题,韩淲,聚星亭下书堂水。冬来欲问梅花使。圭撮是何官。人间有底难。章泉词和去。交道元如故。转眼岁将穷。溪头鹤发翁。,宋,词
李公佐歸漢東,宋庠,門有聯瓜懿，人傷摻袂分。新篇稽奏牘，故社戀鄉枌。桂魄離懷苦，蘭苕夕膳薰。芳音毋自寶，西北足歸雲。,唐,律诗
沈朝議之淵挽詩  其二,蔡戡,仕至二千石，年餘七十秋。長生應有訣，勇退復何求。耆舊凋零盡，功名取次休。莫陪蒿里餞，東望隴雲愁。,唐,律诗
无题,洪适,当年召父治南阳。千室颂慈祥。今代天台太守，声名已达岩廊。风流闲暇，胡床乘兴，燕寝凝香。好去花砖视草，珠庭喜见微黄。,宋,词
无题,杨无咎,晓来烟露重，为重阳、增胜致。记一年好处，无似此天气。东篱白衣至，南陌芳筵启。风流曾未远，登临都在眼底。人生如寄。谩把茱萸看子细。击节听高歌，痛饮莫辞醉。乌帽任教，颠倒风里坠。黄花明日，纵好无情味。,宋,词
次韵回山人贈沈東老二首  其一,陳師道,一杯領意不須沽，六字持身已有餘。癡子未知天上樂，先生今解世間書。,唐,绝句
无题,无名氏,蕙子兰孙小样儿。化工簇就寄南枝。笑他兰蕙，虽韵带轻肥。香霭紫檀和雾重，色攒黄蜡界金徽。有人潇洒，插向鬓边宜。,宋,词
无题,李流谦,老插黄花不称。节物撩人且任。破帽略遮阑，嫌见星星越甚。不饮。不饮。和取蜂愁蝶恨。,宋,词
无题,吕渭老,策杖穿荒圃，登临笑晚风。无穷秋色蔽晴空。遥见夕阳江上、卷飞蓬。雁过菰蒲远，山遥梦寐通。一林枫叶堕愁红。归去暮烟深处、听疏锺。,宋,词
賀朱喬年生日,鄧肅,三春一半入羣芳，朱朱白白競天香。人間無處著此景，付與長庚作肺腸。長庚乘風下天宇，明窗萬卷飽今古。筆端著處皆春容，文墨林中三角虎。祇今聲價高雲煙，要轍故應歲九遷。便當折檻追家世，與國同休億萬年。,唐,诗
苦寒行,劉敞,驅馬涉長磧，千里徑無草。天寒日光淡，積雪常杲杲。勁風裂肌膚，狐狢甚魯縞。况我被甲鎧，寢遲起常早。崔嵬陟高山，日落尚遠道。人生各有命，豈憚事遐討。飲冰傷心骨，重研如巨棗。義深自最勵，身賤寧要好。親戚何可逢，功名未自保。少年慕壯健，我獨貴疏老。,唐,诗
赤城李丹士,王鎡,頻年游嶽洞，靈跡記無差。學得長生術，常留鍛死砂。笛吹蒼島月，鞋踏赤城霞。又欲騰空去，尋仙到九華。,唐,律诗
无题,刘辰翁,相思无处著春寒。傍阑干。湿阑干。似我情怀，处处忆临安。想见夜深村鼓静，灯晕碧，为傍人，说上元。是花是雪无意看。雨摧残。雨摧残。探春未还。到春还、似不如闲。感恨千般、憔悴做花难。不惜与君同一醉，君不见，铜雀台，望老瞒。,宋,词
无题,赵鼎,檐花点滴秋清。寸心惊。香断一炉沈水、一灯青。凉宵永。孤衾冷。梦难成。叶叶高梧敲恨、送残更。,宋,词
送梁六自洞庭山作,張說,巴陵一望洞庭秋，日見孤峰水上浮。聞道神仙不可接，心隨湖水共悠悠。,唐,绝句
无题,张炎,爱闲能有几人来。松下独徘徊。清虚冷淡神仙事，笑名场、多少尘埃。漱齿石边危坐，洗心易里舒怀。划然长啸白云堆。更待月明□。一瓢春水山中饮，喜无人、踏破苍苔。开了桃花半树，此游不是天台。,宋,词
无题,卢祖皋,佩解洛波遥，弦冷湘江渺。月底盈盈误不归，独立风尘表。窗绮护幽妍，瓶玉扶轻袅。别后知谁语素心，寂寞山寒峭。,宋,词
无题,方岳,蔬甲初肥雨润，茶枪小摘春明。野篱是处可诗情。打过下湖船并。捷报秋来旁午，贤关早晚同寅。绿杨连骑带春城。不问南山远近。,宋,词
隆興書堂自警三十五首  其一八,陳淳,周翁圖太極，張子銘訂頑。吾門禮義宗，毋離几席間。,唐,绝句
次韻謝曹之才見贈,方回,崦嵫苒苒迫斜暉，夢斷銘功十二旂。鄰曲過從穿不借，故鄉書問寄當歸。固窮敢向中途悔，小隠無令始願違。萬境皆空心已死，霑泥落絮肯重飛。,唐,律诗
宿青山館,許棠,下馬青山下，無言有所思。雲藏李白墓，苔暗謝公詩。烈燒飛荒野，棲鳧宿廣陂。東來與西去，皆是不閑時。,唐,律诗
无题,苏轼,日薄花房绽，风和麦浪轻。夜来微雨洗郊坰。正是一年春好、近清明。已改煎茶火，犹调入粥饧。使君高会有馀清。此乐无声无味、最难名。,宋,词
无题,韩淲,萧然在涧。景色秋来冠。几缕明霞红未断。矫首时时遐观。回思五马清游。分明前辈风流。留作山间佳话，更谁愁上眉头。,宋,词
山中楚辭  其四,高似孫,若古兮多奇，御夏兮高明。蹇千山兮在下，石吐泉兮泠泠。采新果兮半熟，被疏絺兮全輕。非老子兮孰悟，亦晉人兮予盟。風來南兮洗琴，棋落落兮爭聲。心有官兮自玉，天相知兮同醒。,唐,词
无题,陆游,敧帽垂鞭送客回。小桥流水一枝梅。衰病逢春都不记。谁谓。幽香却解逐人来。安得身闲频置酒。携手。与君看到十分开。少壮相从今雪鬓。因甚。流年羁恨两相催。,宋,词
无题,辛弃疾,柳边飞鞚。露湿征衣重。宿鹭惊窥沙影动。应有鱼虾入梦。一川淡月疏星。浣沙人影娉婷。笑背行人归去，门前稚子啼声。,宋,词
无题,陈师道,官样初黄过闰九。鲜妍时更宜寒。挽回人意不成阑。香罗堆叶密，芳意著心单。过与后房歌舞手，轻盈喜色生颜。堕钗拥髻与垂鬟。欲知谁称面，遍插一枝看。,宋,词
和提刑千葉梅  其一,韓維,層層玉葉黄金蕊，漏泄天香與世人。閑寂未須嗟失地，年年長冠百花春。,唐,绝句
寄肅翁紫薇,劉克莊,當年臨鏡學施朱，不信人間有彼姝。瞥見內家眉樣別，回看鏡裏是村姑。,唐,绝句
无题,晏殊,湖上西风斜日，荷花落尽红英。金菊满丛珠颗细，海燕辞巢翅羽轻。年年岁岁情。美酒一杯新熟，高歌数阕堪听。不向尊前同一醉，可奈光阴似水声。迢迢去未停。,宋,词
无题,卢祖皋,玉肌翠袖，较似酴醿瘦。几度熏醒夜窗酒。问炎洲何事，得许清凉，尘不到，一段冰壶翦就。晚来庭户悄，暗数流光，细拾芳英黯回首。念日暮江东，偏为魂销，人易老、幽韵清标似旧。正簟纹如水帐如烟，更奈向，月明露浓时候。,宋,词
无题,陈著,当此朱炎火日，恨无玉骨冰肌。问来思欲动凉飔。宝箑荷君相遗。如铁又添颜甲，报琼难续声诗。愿言长在奉扬时。似恁团圞到底。,宋,词
同僧遊𤂌陽塘上生院,趙庚夫,沿堤上下看沙鷗，得句支筇自點頭。風露高時將鶴伴，溪山好處載僧遊。老無志願惟漁艇，閒有功夫上寺樓。歲晚淵明須自笑，督郵未至合歸休。,唐,律诗
无题,杜,江山如此，是天开万古，东南王气。一自髯孙横短策，坐使英雄鹊起。玉树声消，金莲影散，多少伤心事。千年辽鹤，并疑城郭非是。当日万驷云屯，潮生潮落处，石头孤峙。人笑褚渊今齿冷，只有袁公不死。斜日荒烟，神州何在，欲堕新亭泪。元龙老矣，世间何限馀子。,宋,词
无题,姚云文,卷丝丝、雨织半晴天，棹歌发清舷。甚苍虬怒耀，灵鼍急吼，雪涌平川。楼外榴裙几点，描破绿杨烟。把画罗遥指，助啸争先。憔悴潘郎曾记，得青龙千舸，采石矶边。叹内家帖子，闲却缕金笺。觉素标、插头如许，尽风情、终不似斗赢船。人声断，虚斋半掩，月印枯禅。,宋,词
京居秋感五絕句  其五,晁說之,河滣依棹得風期，秦樹湘雲枉夢思。也好歸來君富貴，未容言語我悲傷。,唐,绝句
書目所見者五首  其三,張侃,盟鷗何處來，聲和春喜近。賓鴻可憐生，呼羣摩霧隠。鷗鴻本何心，世人無義襟。責彼不責己，嗟嗟非獨今。,唐,律诗
見湖南繡使陳益甫大著  其二,戴復古,麾節羅群彥，朝廷只數公。近民多惠澤，望闕負孤忠。星殞京城震，沙移海水通。欲知休咎證，無路問蒼穹。,唐,律诗
詩偈 一○八,龐藴,不用苦多聞，看他彼上人。百憶及日用，元在一毛塵（《宗鏡錄》卷十八作「纂在一毛鱗」）。心但寂無相，即出無明津。若能如是學，幾許省精神。,唐,词
洞房,杜甫,洞房環佩冷，玉殿起秋風。秦地應新月，龍池滿舊宮。繫舟今夜遠，清漏往時同。萬里黃山北，園陵白露中。,唐,律诗
和邵同年戲贈賈收秀才三首  其二,蘇軾,朝見新荑出舊槎，騷人孤憤苦思家。五噫處士大窮約，三賦先生多誕誇。帳外鶴鳴匳有鏡，筒中錢盡案無鮭。玉川何日朝金闕，白晝關門守夜叉。,唐,律诗
劉忠定書簡帖贊,岳珂,公心如鐵，萬仞壁立。聲名百年，翰墨十襲。絕景獨睨，奔塵莫及。曰誰爲之，目不妄入。,唐,其他
初冬雜題六首  其四,陸游,五斗安能解醉酲，瞢騰睡眼怯窗明。策勛賴有春芽在，臥聽山童轉磑聲。,唐,绝句
奉和魯望玩金鸂鶒戲贈,皮日休,鏤羽彫毛迥出羣，溫黁飄出麝臍熏。夜來曾吐紅茵畔，猶似溪邊睡不聞。,唐,绝句
江上送別,皇甫松,祖席駐征棹，開帆候信潮。隔筵桃葉泣，吹管杏花飄。船去鷗飛閣，人歸塵上橋。別離惆悵淚，江路濕紅蕉。,唐,律诗
句 七,耿玉真,學著荷衣還可喜，年少多來有幾，自古閑愁無際。,唐,词
无题,晏几道,何处别时难。玉指偷将粉泪弹。记得来时楼上烛，初残。待得清霜满画阑。不惯独眠寒。自解罗衣衬枕檀。百媚也应愁不睡，更阑。恼乱心情半被闲。,宋,词
无题,仲殊,年芳已远，凉夏疏疏雨。菊占此时开，背佳期、清秋何处。滴成金豆，弹破栗文圆，临水槛，倚风亭，全胜东篱暮。茱萸未结，谁是多情侣。菖叶与葵花，也相饶、也□羞妒。主人著意，何必念登高，浮酒面，解烦襟，消尽当筵暑。,宋,词
初祖熊耳峰,剋符道者,閑佩毗盧印，人天末位尊。寶航橫鳳浦，金錫挂龍門。去後梁王感，來光魏主恩。葱山擕隻履，半偈動乾坤。。,唐,律诗
无题,范成大,冰明玉润天然色。凄凉拼作西风客。不肯嫁东风。殷勤霜露中。绿窗梳洗晚。笑把玻璃盏。斜日上妆台。酒红和困来。,宋,词
无题,蔡伸,春事付莺花，曾是莺花主。醉拍春衫金缕衣，只向花间住。密意君听取。莫逐风来去。若是真心待于飞，云里千条路。,宋,词
无题,程珌,休怪频年司钥，仙官长守仙宫。东风未肯到凡红。先舞云韶彩凤。都是一团和气，故教上苑春浓。群仙拍手过江东。高唱紫芝新颂。,宋,词
頌古二首 僧問雪竇明覺如何是佛，曰四山圍繞。,釋知昺,狂狗逐塊，瞎馿趁隊。只許我知，不許你會。,唐,其他
黄靖州子孫江西漕試,韓淲,淬礪酬先志，家傳合奏功。子孫當決勝，詞賦况同風。南浦聯名處，西江一戰中。鄉閭飛榜到，丹桂滿芳叢。,唐,律诗
趙元達婦孕不育後數日其猶子生一女子二子皆有戚戚之色戲作此詩開之,饒節,十年不見陳驚座，二子相逢心亦可。高帝子孫果隆準，杜陵先生豈欺我。甘陵夫子孕不育，世無元化操五毒。乳醫袖手輒寤生，不藥而喜神所福。君家阿濟頤未髯，頗恨生子不生男。人間久乏古烈女，世上多歎吾兒凡。應當有子問賢否，弄璋弄瓦詩人口。木蘭買馬替爺征，班昭嗣兄成漢表。人生得此二子者，安用癡兒鬧昏曉。况君各自富春秋，有女如玉方好逑。必欲商瞿有男子，殷勤更問東家丘。,唐,诗
哭趙忠定  其一,范模,日月開黄道，乾坤奠渾儀。斯人今已矣，吾道竟何之。玉鉉憂思苦，金縢感慨遲。仆碑今復立，恨不見封彝。,唐,律诗
无题,洪咨夔,花事无多，笙歌绾取东风住。玉彝雕俎，楼外更筹屡。醉唤骊驹，催上天梯去。君知否。半边铜虎。邓艾经行路。,宋,词
中書遇雨,錢起,濟旱惟宸慮，爲霖即上台。雲銜七曜起，雨拂九門來。綸閣飛絲度，龍渠激霤迴。色翻池上藻，香裛鼎前杯。湘燕皆舒翼，沙鱗豈曝腮。尺波應萬假，虞海載沿洄。,唐,诗
无题,曾觌,艳杏红芳透粉肌。沈香亭宴太真妃。新晴庭馆燕来迟。试抹么弦妆半掩，满斟绿醑袖交飞。九重天上捧金卮。,宋,词
无题,刘辰翁,坐久语寂寞，泉响忽翻空。不知龙者为雨，雨者为成龙。看取交流万壑，不数飞来千丈，高屋总淙淙。是事等恶剧，裂石敢争雄。敲铿訇，扪滑仄，藉蒙茸。苍浪向来半掩，厚意复谁容。欲说正元旧事，未必玄都千树，得似洞中红。檐语亦颠倒，洗尔不平胸。,宋,词
无题,马伯升,和气应鼙鼓，喜色上辕门。貔貅万骑，争相庆主将佳晨。遥望九霄上阙，霭霭庆云澄处，一点将星明。天瑞不虚应，人杰岂虚生。况君家，名将旧，有元勋。上方拊髀，要资颇牧作长城。管取斋坛入拜，会见凯歌归奏，振起旧家声。与国同休语，王府又重盟。,宋,词
无题,张炎,记玉关、踏雪事清游。寒气脆貂裘。傍枯林古道，长河饮马，此意悠悠。短梦依然江表，老泪洒西州。一字无题处，落叶都愁。载取白云归去，问谁留楚佩，弄影中洲。折芦花赠远，零落一身秋。向寻常野桥流水，待招来、不是旧沙鸥。空怀感，有斜阳处，却怕登楼。,宋,词
无题,杜安世,疏雨才收淡泞天。微云绽处月婵娟。寒雁一声人正远。添幽怨。那堪往事思量遍。谁道绸缪两意坚。水萍风絮不相缘。舞鉴鸾肠虚寸断。芳容变。好将憔悴教伊见。,宋,词
莊丞內子挽詩  其二,林希逸,死自知歸處，生能孝養親。真堪名烈婦，豈不勝癡人。新卜金沙竁，空埋玉雪身。佳銘求篆石，摻筆爲酸辛。,唐,律诗
京中人作二豹咒（題擬）,佚名,苦違心負教，橫遭三豹。（見《朝野僉載》卷二）（按：《全唐詩》卷八七六作三言二句，係錄自《新唐書》卷一八六《王旭傳》。今重錄。）。,唐,词
无题,吴文英,江上桃花流水，天涯芳草青山。楼台春锁碧湾。都入行人望眼。一镜波平鸥去，千林日落鸦还。天风袅袅送轻帆。蓦过星槎银汉。,宋,词
无题,张炎,艾蒳香消火未残。便能晴去不多寒。冶游天气却身闲。带雨移花浑懒看，应时插柳日须攀。最堪惆怅是东栏。,宋,词
聞子規  其一,林昉,飛到一枝上，須啼三五聲。烟中猶彷彿，月下最分明。,唐,绝句
廣述二首  其二,華鎮,飄風入閶闔，九陌起黄埃。馺遝振鳴珂，馳驅東西來。側足湊高明，珠箔爲褰開。附會崇岳友，沮譽牛李儕。傾側競姿媚，談笑足詼諧。朝爲道旁客，暮爲廊廟才。如何首陽人，悵望黄金臺。所得竟斗筲，回首良可哀。安見鄭子真，谷口日徘徊。嘉聲滿朝野，何用苦自媒。,唐,诗
正月十三日過鄧師契邂逅伯山在焉師契置酒因成五言四韵,趙蕃,竹已連梢種，梅應带蒂栽。因留看書帖，更辱倒尊罍。勝士亦俱集，好懷端爲開。春風不拘束，兩鬢自摧頹。,唐,律诗
无题,王之道,云不卷。浇愁莫放金杯浅。金杯浅。新词丽句，要人裁翦。酒酣思致天同远。临风捉笔纶巾岸。纶巾岸。诗成归去，寒光照晚。,宋,词
无题,曾协,一年好处，是霜轻尘敛，山川如洗。晚菊留花供燕赏，金缕宝衣销地。旧观初还，层楼相望，重见升平际。小春时节，绮罗丛里人醉。此日武帐贤侯，六年仁政，浃长淮千里。欲入鹓行仍缓带，聊抚竹西歌吹。紫塞烟清，玉关人老，宜趣朝天骑。香尘归路，旧游回首应记。,宋,词
无题,郑域,蕊宫仙子，爱痴儿、不禁三偷家果。弃核成根传汉苑，依旧风烟难□。老养丹砂，长留红脸，点透胭脂颗。金盘盛处，恍然天上新堕。莫厌对此飞觞，千年一熟，异人间梨枣。刘阮尘缘犹未断，却向花间飞过。争似莲枝，摘来满把，莺嘴平分破。餐霞嚼露，镇长歌醉蓬岛。,宋,词
遊慈感寺用壁間趙安石韻,袁說友,薄俗冷還暖，餘年春復秋。詩窮無限意，身老半生愁。飽睡書慵展，居閒客强留。功名羞鏡裏，白髮奈盈頭。,唐,律诗
无题,周邦彦,醉魂乍醒，听一声啼鸟，幽斋岑寂。淡日朦胧初破晓，满眼娇晴天色。最惜香梅，凌寒偷绽，漏泄春消息。池塘芳草，又还淑景催逼。因念旧日芳菲，桃花永巷，恰似初相识。荏苒时光，因惯却、觅雨寻云踪迹。奈有离拆，瑶台月下，回首频思忆。重愁叠恨，万般都在胸臆。,宋,词
遊武夷作  其一,陳韡,閬風元不隔扃扉，桑柘松筠匼匝圍。溪貫一原藏曲折，山羅萬象欲騰飛。仙壇起霧成丹竈，玉女披霞作綵衣。寂寂幔亭天籟息，笙簫疑向夜深歸。,唐,律诗
送陳諫東歸,胡宿,顔詩摛錦有高文，席上經年未聘珍。鵠板乍停公府詔，貂裘還敝洛城塵。雪園授簡誰爲賦，煙渚歸艎不待春。何日子虛聞夜誦，尚方給札對嚴宸。,唐,律诗
无题,魏了翁,怕年来年去，渐雅志、易华颠。叹梦里青藜，间边银信，望外朱轓。十年竟成何事，虽万锺、於我曷加焉。海上潮生潮落，山头云去云还。人生天地两仪间。只住百来年。今三纪虚过，七旬强半，四帙看看。当时只忧未见，恐如今、见得又徒然。夜静花间明露，晓凉竹外晴烟。,宋,词
